弁慶堂,299138,39.000354367,141.104627671,日本, 〒029-4102 岩手県西磐井郡平泉町平泉衣関４８,
中尊寺 月見坂,4153886,38.998308241,141.107840538,日本, 〒029-4102 岩手県西磐井郡平泉町平泉衣関３９,
中尊寺 観音堂,115775046,39.001002264,141.102705818,日本, 〒029-4102 岩手県西磐井郡平泉町平泉衣関６７,
中尊寺、讃衡蔵,4457652,39.001786415,141.100545516,日本, 〒029-4102 岩手県西磐井郡平泉町平泉衣関１７７,
中尊寺 薬師堂,34853312,39.000901334,141.1028409,日本, 〒029-4102 岩手県西磐井郡平泉町平泉衣関６７,
中尊寺 不動堂,4841798,39.001230675,141.101725101,日本, 〒029-4102 岩手県西磐井郡平泉町平泉衣関６７,
中尊寺 峯薬師堂,4015380,39.001643391,141.101660728,日本, 〒029-4102 岩手県西磐井郡平泉町平泉衣関１８４,
積善院,105620639,39.001112,141.103506,日本, 〒029-4102 岩手県西磐井郡平泉町平泉衣関２０３,
中尊寺 大日堂,3884005,39.001714261,141.101446152,日本, 〒029-4102 岩手県西磐井郡平泉町平泉衣関１７７,
中尊寺 地蔵堂,16559047,39.000922507,141.103649786,日本, 〒029-4102 岩手県西磐井郡平泉町平泉衣関６６,
中尊寺 梵鐘,76318831,39.001877,141.100736,日本, 〒029-4102 岩手県西磐井郡平泉町平泉衣関１７７,
金色堂拝観券発行所,133512949,39.001786516,141.100539376,日本, 〒029-4102 岩手県西磐井郡平泉町平泉衣関１７７,
平泉町営中尊寺坂の上駐車場,5104811,39.000858375,141.100878378,日本, 〒029-4102 岩手県西磐井郡平泉町平泉衣関７６,
阿弥陀堂,30197290,39.001841619,141.100655866,日本, 〒029-4102 岩手県西磐井郡平泉町平泉衣関１７７,
毛越寺,810367,38.987192719,141.107465029,日本, 〒029-4102 岩手県西磐井郡平泉町平泉大沢６１,
中尊寺 弁財天堂,35490425,39.001944,141.100304,日本, 〒029-4102 岩手県西磐井郡平泉町平泉衣関７８,
白山神社 能舞台,4154711,39.00294905,141.100315,日本, 〒029-4102 岩手県西磐井郡平泉町平泉衣関１７３,
白山神社,11273180,39.003148027,141.100340737,日本, 〒029-4102 岩手県西磐井郡平泉町平泉衣関１７３,
大長寿院,141158934,39.002441764,141.099726619,日本, 〒029-4102 岩手県西磐井郡平泉町平泉衣関８２,
中尊寺 釈迦堂,69401516,39.002187,141.099769,日本, 〒029-4102 岩手県西磐井郡平泉町平泉衣関８２,
中尊寺 芭蕉翁句碑,21093963,39.001790895,141.099668388,日本, 〒029-4102 岩手県西磐井郡平泉町平泉衣関７８,
はりきゅう西谷坊,14460695,39.00253724,141.09962213,日本, 〒029-4102 岩手県西磐井郡平泉町平泉衣関８２,
中尊寺 経蔵,5106003,39.001555845,141.099509597,日本, 〒029-4102 岩手県西磐井郡平泉町平泉衣関７８,
中尊寺 東物見台,22275030,39.000120764,141.105171809,日本, 〒029-4102 岩手県西磐井郡平泉町平泉衣関４８,
平泉町,7138859,38.987987518,141.115089086,日本, 〒029-4102 岩手県西磐井郡平泉町平泉志羅山 県道31号線,
かんざん亭,5011843,39.003293465,141.099839991,日本, 〒029-4102 岩手県西磐井郡平泉町平泉衣関１７３,
弁慶園,545747277,38.999513565,141.105538386,日本, 〒029-4102 岩手県西磐井郡平泉町平泉衣関４６−２２,
平泉町役場,50043789,38.98660896,141.113789678,志羅山 平泉 平泉町 西磐井郡 岩手県 029-4192 日本,
中尊寺 旧覆堂,5711268,39.002068611,141.099219918,日本, 〒029-4102 岩手県西磐井郡平泉町平泉衣関８２,
平泉レストハウス,3281843,38.998785634,141.108790437,日本, 〒029-4102 岩手県西磐井郡平泉町平泉坂下１０,
平泉北こ線橋,17700504,39.01116231,141.117390646,日本, 〒029-4102 岩手県西磐井郡平泉町平泉 平泉バイパス,
弁慶の墓,4155035,38.998218569,141.108550716,日本, 〒029-4102 岩手県西磐井郡平泉町平泉坂下 奥州街道(陸羽街道),
中尊寺 八幡堂,76021004,38.999348826,141.106141981,日本, 〒029-4102 岩手県西磐井郡平泉町平泉衣関４６,
ほっかほっか亭 平泉店,7456335,38.996398797,141.110426188,日本, 〒029-4102 岩手県西磐井郡平泉町平泉衣関１,
cafe&bar 琥珀,131267305,38.988106259,141.115065818,日本, 〒029-4102 岩手県西磐井郡平泉町平泉志羅山８−１３,
熊野三社,57581890,38.992940271,141.111295308,日本, 〒029-4102 岩手県西磐井郡平泉町平泉花立４４,
そば処 義家,8107795,38.999027731,141.10585755,日本, 〒029-4102 岩手県西磐井郡平泉町平泉衣関４６,
毛越寺,14431396,38.987230791,141.108246923,日本, 〒029-4102 岩手県西磐井郡平泉町平泉大沢５８,
大夫黒,205932618,38.993640066,141.116066765,日本, 〒029-4102 岩手県西磐井郡平泉町平泉柳御所９１,
ひらいずみ内科クリニック,177473978,38.988784,141.116258,日本, 〒029-4102 岩手県西磐井郡平泉町平泉志羅山３−６,
